@relation superrstore

@attribute 'Row ID' numeric
@attribute 'Order ID' {CA-2016-152156,CA-2016-138688,US-2015-108966,CA-2014-115812,CA-2017-114412,CA-2016-161389,US-2015-118983,CA-2014-105893,CA-2014-167164,CA-2014-143336,CA-2016-137330,US-2017-156909,CA-2015-106320,CA-2016-121755,US-2015-150630,CA-2017-107727,CA-2016-117590,CA-2015-117415,CA-2017-120999,CA-2016-101343,CA-2017-139619,CA-2016-118255,CA-2014-146703,CA-2016-169194,CA-2015-115742,CA-2016-105816,CA-2016-111682,CA-2015-135545,US-2015-164175,CA-2014-106376,CA-2016-119823,CA-2016-106075,CA-2017-114440,US-2015-134026,US-2017-118038,US-2014-147606,CA-2016-127208,CA-2014-139451,CA-2015-149734,US-2017-119662,CA-2017-140088,CA-2017-155558,CA-2016-159695,CA-2016-109806,CA-2015-149587,US-2017-109484,CA-2017-161018,CA-2017-157833,CA-2016-149223,CA-2016-158568}
@attribute 'Order Date' {11/8/2016,6/12/2016,10/11/2015,6/9/2014,4/15/2017,12/5/2016,11/22/2015,11/11/2014,5/13/2014,8/27/2014,12/9/2016,7/16/2017,9/25/2015,1/16/2016,9/17/2015,10/19/2017,12/8/2016,12/27/2015,9/10/2017,7/17/2016,9/19/2017,3/11/2016,10/20/2014,6/20/2016,4/18/2015,12/11/2016,6/17/2016,11/24/2015,4/30/2015,12/5/2014,6/4/2016,9/18/2016,9/14/2017,4/26/2015,12/9/2017,11/26/2014,10/12/2014,9/3/2015,11/13/2017,5/28/2017,10/26/2017,4/5/2016,9/17/2016,1/31/2015,11/6/2017,11/9/2017,6/17/2017,9/6/2016,8/29/2016}
@attribute 'Ship Date' {11/11/2016,6/16/2016,10/18/2015,6/14/2014,4/20/2017,12/10/2016,11/26/2015,11/18/2014,5/15/2014,9/1/2014,12/13/2016,7/18/2017,9/30/2015,1/20/2016,9/21/2015,10/23/2017,12/31/2015,9/15/2017,7/22/2016,9/23/2017,3/13/2016,10/25/2014,6/25/2016,4/22/2015,12/17/2016,6/18/2016,11/30/2015,5/5/2015,12/10/2014,6/6/2016,9/23/2016,9/17/2017,5/2/2015,12/11/2017,12/1/2014,6/15/2016,10/16/2014,9/8/2015,11/16/2017,5/30/2017,11/2/2017,4/10/2016,9/22/2016,2/5/2015,11/12/2017,11/11/2017,6/20/2017,9/11/2016,9/2/2016}
@attribute 'Ship Mode' {'Second Class','Standard Class','First Class'}
@attribute 'Customer ID' {CG-12520,DV-13045,SO-20335,BH-11710,AA-10480,IM-15070,HP-14815,PK-19075,AG-10270,ZD-21925,KB-16585,SF-20065,EB-13870,EH-13945,TB-21520,MA-17560,GH-14485,SN-20710,LC-16930,RA-19885,ES-14080,ON-18715,PO-18865,LH-16900,DP-13000,JM-15265,TB-21055,KM-16720,PS-18970,BS-11590,KD-16270,HM-14980,JE-15745,KB-16600,SC-20770,DN-13690,JC-16105,CS-12400,PG-18895,GM-14455,JS-15685,KB-16315,RB-19705,PN-18775,KD-16345,ER-13855,RB-19465}
@attribute 'Customer Name' {'Claire Gute','Darrin Van Huff','Sean O\'Donnell','Brosina Hoffman','Andrew Allen','Irene Maddox','Harold Pawlan','Pete Kriz','Alejandro Grove','Zuschuss Donatelli','Ken Black','Sandra Flanagan','Emily Burns','Eric Hoffmann','Tracy Blumstein','Matt Abelman','Gene Hale','Steve Nguyen','Linda Cazamias','Ruben Ausman','Erin Smith','Odella Nelson','Patrick O\'Donnell','Lena Hernandez','Darren Powers','Janet Molinari','Ted Butterfield','Kunst Miller','Paul Stevenson','Brendan Sweed','Karen Daniels','Henry MacAllister','Joel Eaton','Ken Brennan','Stewart Carmichael','Duane Noonan','Julie Creighton','Christopher Schild','Paul Gonzalez','Gary Mitchum','Jim Sink','Karl Braun','Roger Barcio','Parhena Norris','Katherine Ducich','Elpida Rittenbach','Rick Bensley'}
@attribute Segment {Consumer,Corporate,'Home Office'}
@attribute Country {'United States'}
@attribute City {Henderson,'Los Angeles','Fort Lauderdale',Concord,Seattle,'Fort Worth',Madison,'West Jordan','San Francisco',Fremont,Philadelphia,Orem,Houston,Richardson,Naperville,Melbourne,Eagan,Westland,Dover,'New Albany','New York City',Troy,Chicago,Gilbert,Springfield,Jackson,Memphis,Decatur,Durham,Columbia,Rochester,Minneapolis,Portland,'Saint Paul'}
@attribute State {Kentucky,California,Florida,'North Carolina',Washington,Texas,Wisconsin,Utah,Nebraska,Pennsylvania,Illinois,Minnesota,Michigan,Delaware,Indiana,'New York',Arizona,Virginia,Tennessee,Alabama,'South Carolina',Oregon}
@attribute 'Postal Code' numeric
@attribute Region {South,West,Central,East}
@attribute 'Product ID' {FUR-BO-10001798,FUR-CH-10000454,OFF-LA-10000240,FUR-TA-10000577,OFF-ST-10000760,FUR-FU-10001487,OFF-AR-10002833,TEC-PH-10002275,OFF-BI-10003910,OFF-AP-10002892,FUR-TA-10001539,TEC-PH-10002033,OFF-PA-10002365,OFF-BI-10003656,OFF-AP-10002311,OFF-BI-10000756,OFF-ST-10004186,OFF-ST-10000107,OFF-AR-10003056,TEC-PH-10001949,OFF-BI-10002215,OFF-AR-10000246,OFF-AP-10001492,FUR-CH-10002774,OFF-BI-10001634,TEC-AC-10003027,FUR-BO-10004834,OFF-BI-10000474,FUR-FU-10004848,OFF-EN-10001509,OFF-AR-10004042,OFF-BI-10001525,OFF-AR-10001683,OFF-PA-10000249,TEC-PH-10004977,FUR-FU-10003664,OFF-EN-10002986,FUR-BO-10002545,FUR-CH-10004218,TEC-PH-10000486,TEC-PH-10004093,OFF-ST-10003479,OFF-ST-10003282,TEC-AC-10000171,OFF-BI-10003291,OFF-ST-10001713,TEC-AC-10002167,TEC-PH-10003988,OFF-BI-10004410,OFF-LA-10002762,FUR-FU-10001706,FUR-CH-10003061,OFF-FA-10000304,TEC-PH-10002447,OFF-ST-10000604,OFF-PA-10001569,FUR-CH-10003968,OFF-PA-10000587,OFF-BI-10001460,OFF-AR-10001868,TEC-AC-10004633,OFF-BI-10001078,OFF-PA-10003892,FUR-FU-10000397,FUR-CH-10001146,OFF-AR-10002671,TEC-PH-10002726,OFF-PA-10000482,OFF-BI-10004654,OFF-PA-10004675,FUR-CH-10000513,FUR-FU-10003708,OFF-ST-10004123,OFF-BI-10004182,FUR-FU-10000260,OFF-ST-10000615,FUR-FU-10003194,OFF-AP-10002118,OFF-BI-10002309,OFF-AR-10002053,OFF-ST-10002370,OFF-EN-10000927,OFF-ST-10003656,FUR-CH-10000863,TEC-AC-10001998,OFF-LA-10000134,OFF-ST-10003442,OFF-AR-10004930,OFF-PA-10000304,OFF-PA-10003177,FUR-FU-10003799,OFF-BI-10002852,OFF-BI-10004738,FUR-FU-10000629,OFF-BI-10001721,OFF-AP-10000358,OFF-PA-10003256}
@attribute Category {Furniture,'Office Supplies',Technology}
@attribute Sub-Category {Bookcases,Chairs,Labels,Tables,Storage,Furnishings,Art,Phones,Binders,Appliances,Paper,Accessories,Envelopes,Fasteners}
@attribute 'Product Name' {'Bush Somerset Collection Bookcase','Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back','Self-Adhesive Address Labels for Typewriters by Universal','Bretford CR4500 Series Slim Rectangular Table','Eldon Fold \'N Roll Cart System','Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood','Newell 322','Mitel 5320 IP Phone VoIP phone','DXL Angle-View Binders with Locking Rings by Samsill','Belkin F5C206VTEL 6 Outlet Surge','Chromcraft Rectangular Conference Tables','Konftel 250 Conference�phone�- Charcoal black','Xerox 1967','Fellowes PB200 Plastic Comb Binding Machine','Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter','Storex DuraTech Recycled Plastic Frosted Binders','Stur-D-Stor Shelving, Vertical 5-Shelf: 72 H x 36 W x 18 1/2 D','Fellowes Super Stor/Drawer','Newell 341','Cisco SPA 501G IP Phone','Wilson Jones Hanging View Binder, White, 1','Newell 318','Acco Six-Outlet Power Strip, 4\' Cord Length','Global Deluxe Stacking Chair, Gray','Wilson Jones Active Use Binders','Imation�8GB Mini TravelDrive USB 2.0�Flash Drive','Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish','Avery Recycled Flexi-View Covers for Binding Systems','Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock','Poly String Tie Envelopes','BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain','Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Executive Red','Lumber Crayons','Easy-staple paper','GE 30524EE4','Electrix Architect\'s Clamp-On Swing Arm Lamp, Black','#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes','Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors','Global Fabric Manager\'s Chair, Dark Gray','Plantronics HL10 Handset Lifter','Panasonic Kx-TS550','Eldon Base for stackable storage shelf, platinum','Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers','Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack','Wilson Jones Leather-Like Binders with DublLock Round Rings','Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black','LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite','C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack','Avery 485','Longer-Life Soft White Bulbs','Global Leather Task Chair, Black','Advantus Push Pins','AT&T CL83451 4-Handset Telephone','Home/Office Personal File Carts','Xerox 232','Novimex Turbo Task Chair','Array Parchment Paper, Assorted Colors','Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive','Plastic Binding Combs','Prang Dustless Chalk Sticks','Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack','Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8 X 11','Xerox 1943','Luxo Economy Swing Arm Lamp','Global Value Mid-Back Manager\'s Chair, Gray','Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige','netTALK DUO VoIP Telephone Service','Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate','Avery Binding System Hidden Tab Executive Style Index Sets','Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16','High-Back Leather Manager\'s Chair','Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48','Safco Industrial Wire Shelving System','Economy Binders','6 Cubicle Wall Clock, Black','SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h','Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak','1.7 Cubic Foot Compact Cube Office Refrigerators','Avery Heavy-Duty EZD  Binder With Locking Rings','Premium Writing Pencils, Soft, #2 by Central Association for the Blind','Sortfiler Multipurpose Personal File Organizer, Black','Jet-Pak Recycled Peel \'N\' Seal Padded Mailers','Safco Industrial Wire Shelving','Novimex Swivel Fabric Task Chair','Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired','Avery 511','Eldon Portable Mobile Manager','Turquoise Lead Holder with Pocket Clip','Xerox 1995','Xerox 1999','Seth Thomas 13 1/2 Wall Clock','Ibico Standard Transparent Covers','Flexible Leather- Look Classic Collection Ring Binder','9-3/4 Diameter Round Wall Clock','Trimflex Flexible Post Binders','Fellowes Basic Home/Office Series Surge Protectors','Avery Personal Creations Heavyweight Cards'}
@attribute Sales numeric
@attribute Quantity numeric
@attribute Discount numeric
@attribute Profit numeric

@data
1,CA-2016-152156,11/8/2016,11/11/2016,'Second Class',CG-12520,'Claire Gute',Consumer,'United States',Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,'Bush Somerset Collection Bookcase',261.96,2,0,41.9136
2,CA-2016-152156,11/8/2016,11/11/2016,'Second Class',CG-12520,'Claire Gute',Consumer,'United States',Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,'Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back',731.94,3,0,219.582
3,CA-2016-138688,6/12/2016,6/16/2016,'Second Class',DV-13045,'Darrin Van Huff',Corporate,'United States','Los Angeles',California,90036,West,OFF-LA-10000240,'Office Supplies',Labels,'Self-Adhesive Address Labels for Typewriters by Universal',14.62,2,0,6.8714
4,US-2015-108966,10/11/2015,10/18/2015,'Standard Class',SO-20335,'Sean O\'Donnell',Consumer,'United States','Fort Lauderdale',Florida,33311,South,FUR-TA-10000577,Furniture,Tables,'Bretford CR4500 Series Slim Rectangular Table',957.5775,5,0.45,-383.031
5,US-2015-108966,10/11/2015,10/18/2015,'Standard Class',SO-20335,'Sean O\'Donnell',Consumer,'United States','Fort Lauderdale',Florida,33311,South,OFF-ST-10000760,'Office Supplies',Storage,'Eldon Fold \'N Roll Cart System',22.368,2,0.2,2.5164
6,CA-2014-115812,6/9/2014,6/14/2014,'Standard Class',BH-11710,'Brosina Hoffman',Consumer,'United States','Los Angeles',California,90032,West,FUR-FU-10001487,Furniture,Furnishings,'Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood',48.86,7,0,14.1694
7,CA-2014-115812,6/9/2014,6/14/2014,'Standard Class',BH-11710,'Brosina Hoffman',Consumer,'United States','Los Angeles',California,90032,West,OFF-AR-10002833,'Office Supplies',Art,'Newell 322',7.28,4,0,1.9656
8,CA-2014-115812,6/9/2014,6/14/2014,'Standard Class',BH-11710,'Brosina Hoffman',Consumer,'United States','Los Angeles',California,90032,West,TEC-PH-10002275,Technology,Phones,'Mitel 5320 IP Phone VoIP phone',907.152,6,0.2,90.7152
9,CA-2014-115812,6/9/2014,6/14/2014,'Standard Class',BH-11710,'Brosina Hoffman',Consumer,'United States','Los Angeles',California,90032,West,OFF-BI-10003910,'Office Supplies',Binders,'DXL Angle-View Binders with Locking Rings by Samsill',18.504,3,0.2,5.7825
10,CA-2014-115812,6/9/2014,6/14/2014,'Standard Class',BH-11710,'Brosina Hoffman',Consumer,'United States','Los Angeles',California,90032,West,OFF-AP-10002892,'Office Supplies',Appliances,'Belkin F5C206VTEL 6 Outlet Surge',114.9,5,0,34.47
11,CA-2014-115812,6/9/2014,6/14/2014,'Standard Class',BH-11710,'Brosina Hoffman',Consumer,'United States','Los Angeles',California,90032,West,FUR-TA-10001539,Furniture,Tables,'Chromcraft Rectangular Conference Tables',1706.184,9,0.2,85.3092
12,CA-2014-115812,6/9/2014,6/14/2014,'Standard Class',BH-11710,'Brosina Hoffman',Consumer,'United States','Los Angeles',California,90032,West,TEC-PH-10002033,Technology,Phones,'Konftel 250 Conference�phone�- Charcoal black',911.424,4,0.2,68.3568
13,CA-2017-114412,4/15/2017,4/20/2017,'Standard Class',AA-10480,'Andrew Allen',Consumer,'United States',Concord,'North Carolina',28027,South,OFF-PA-10002365,'Office Supplies',Paper,'Xerox 1967',15.552,3,0.2,5.4432
14,CA-2016-161389,12/5/2016,12/10/2016,'Standard Class',IM-15070,'Irene Maddox',Consumer,'United States',Seattle,Washington,98103,West,OFF-BI-10003656,'Office Supplies',Binders,'Fellowes PB200 Plastic Comb Binding Machine',407.976,3,0.2,132.5922
15,US-2015-118983,11/22/2015,11/26/2015,'Standard Class',HP-14815,'Harold Pawlan','Home Office','United States','Fort Worth',Texas,76106,Central,OFF-AP-10002311,'Office Supplies',Appliances,'Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter',68.81,5,0.8,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,'Standard Class',HP-14815,'Harold Pawlan','Home Office','United States','Fort Worth',Texas,76106,Central,OFF-BI-10000756,'Office Supplies',Binders,'Storex DuraTech Recycled Plastic Frosted Binders',2.544,3,0.8,-3.816
17,CA-2014-105893,11/11/2014,11/18/2014,'Standard Class',PK-19075,'Pete Kriz',Consumer,'United States',Madison,Wisconsin,53711,Central,OFF-ST-10004186,'Office Supplies',Storage,'Stur-D-Stor Shelving, Vertical 5-Shelf: 72 H x 36 W x 18 1/2 D',665.88,6,0,13.3176
18,CA-2014-167164,5/13/2014,5/15/2014,'Second Class',AG-10270,'Alejandro Grove',Consumer,'United States','West Jordan',Utah,84084,West,OFF-ST-10000107,'Office Supplies',Storage,'Fellowes Super Stor/Drawer',55.5,2,0,9.99
19,CA-2014-143336,8/27/2014,9/1/2014,'Second Class',ZD-21925,'Zuschuss Donatelli',Consumer,'United States','San Francisco',California,94109,West,OFF-AR-10003056,'Office Supplies',Art,'Newell 341',8.56,2,0,2.4824
20,CA-2014-143336,8/27/2014,9/1/2014,'Second Class',ZD-21925,'Zuschuss Donatelli',Consumer,'United States','San Francisco',California,94109,West,TEC-PH-10001949,Technology,Phones,'Cisco SPA 501G IP Phone',213.48,3,0.2,16.011
21,CA-2014-143336,8/27/2014,9/1/2014,'Second Class',ZD-21925,'Zuschuss Donatelli',Consumer,'United States','San Francisco',California,94109,West,OFF-BI-10002215,'Office Supplies',Binders,'Wilson Jones Hanging View Binder, White, 1',22.72,4,0.2,7.384
22,CA-2016-137330,12/9/2016,12/13/2016,'Standard Class',KB-16585,'Ken Black',Corporate,'United States',Fremont,Nebraska,68025,Central,OFF-AR-10000246,'Office Supplies',Art,'Newell 318',19.46,7,0,5.0596
23,CA-2016-137330,12/9/2016,12/13/2016,'Standard Class',KB-16585,'Ken Black',Corporate,'United States',Fremont,Nebraska,68025,Central,OFF-AP-10001492,'Office Supplies',Appliances,'Acco Six-Outlet Power Strip, 4\' Cord Length',60.34,7,0,15.6884
24,US-2017-156909,7/16/2017,7/18/2017,'Second Class',SF-20065,'Sandra Flanagan',Consumer,'United States',Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,'Global Deluxe Stacking Chair, Gray',71.372,2,0.3,-1.0196
25,CA-2015-106320,9/25/2015,9/30/2015,'Standard Class',EB-13870,'Emily Burns',Consumer,'United States',Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,'Bretford CR4500 Series Slim Rectangular Table',1044.63,3,0,240.2649
26,CA-2016-121755,1/16/2016,1/20/2016,'Second Class',EH-13945,'Eric Hoffmann',Consumer,'United States','Los Angeles',California,90049,West,OFF-BI-10001634,'Office Supplies',Binders,'Wilson Jones Active Use Binders',11.648,2,0.2,4.2224
27,CA-2016-121755,1/16/2016,1/20/2016,'Second Class',EH-13945,'Eric Hoffmann',Consumer,'United States','Los Angeles',California,90049,West,TEC-AC-10003027,Technology,Accessories,'Imation�8GB Mini TravelDrive USB 2.0�Flash Drive',90.57,3,0,11.7741
28,US-2015-150630,9/17/2015,9/21/2015,'Standard Class',TB-21520,'Tracy Blumstein',Consumer,'United States',Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,'Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish',3083.43,7,0.5,-1665.0522
29,US-2015-150630,9/17/2015,9/21/2015,'Standard Class',TB-21520,'Tracy Blumstein',Consumer,'United States',Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,'Office Supplies',Binders,'Avery Recycled Flexi-View Covers for Binding Systems',9.618,2,0.7,-7.0532
30,US-2015-150630,9/17/2015,9/21/2015,'Standard Class',TB-21520,'Tracy Blumstein',Consumer,'United States',Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,'Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock',124.2,3,0.2,15.525
31,US-2015-150630,9/17/2015,9/21/2015,'Standard Class',TB-21520,'Tracy Blumstein',Consumer,'United States',Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,'Office Supplies',Envelopes,'Poly String Tie Envelopes',3.264,2,0.2,1.1016
32,US-2015-150630,9/17/2015,9/21/2015,'Standard Class',TB-21520,'Tracy Blumstein',Consumer,'United States',Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,'Office Supplies',Art,'BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain',86.304,6,0.2,9.7092
33,US-2015-150630,9/17/2015,9/21/2015,'Standard Class',TB-21520,'Tracy Blumstein',Consumer,'United States',Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,'Office Supplies',Binders,'Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Executive Red',6.858,6,0.7,-5.715
34,US-2015-150630,9/17/2015,9/21/2015,'Standard Class',TB-21520,'Tracy Blumstein',Consumer,'United States',Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,'Office Supplies',Art,'Lumber Crayons',15.76,2,0.2,3.546
35,CA-2017-107727,10/19/2017,10/23/2017,'Second Class',MA-17560,'Matt Abelman','Home Office','United States',Houston,Texas,77095,Central,OFF-PA-10000249,'Office Supplies',Paper,'Easy-staple paper',29.472,3,0.2,9.9468
36,CA-2016-117590,12/8/2016,12/10/2016,'First Class',GH-14485,'Gene Hale',Corporate,'United States',Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,'GE 30524EE4',1097.544,7,0.2,123.4737
37,CA-2016-117590,12/8/2016,12/10/2016,'First Class',GH-14485,'Gene Hale',Corporate,'United States',Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,'Electrix Architect\'s Clamp-On Swing Arm Lamp, Black',190.92,5,0.6,-147.963
38,CA-2015-117415,12/27/2015,12/31/2015,'Standard Class',SN-20710,'Steve Nguyen','Home Office','United States',Houston,Texas,77041,Central,OFF-EN-10002986,'Office Supplies',Envelopes,'#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes',113.328,9,0.2,35.415
39,CA-2015-117415,12/27/2015,12/31/2015,'Standard Class',SN-20710,'Steve Nguyen','Home Office','United States',Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,'Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors',532.3992,3,0.32,-46.9764
40,CA-2015-117415,12/27/2015,12/31/2015,'Standard Class',SN-20710,'Steve Nguyen','Home Office','United States',Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,'Global Fabric Manager\'s Chair, Dark Gray',212.058,3,0.3,-15.147
41,CA-2015-117415,12/27/2015,12/31/2015,'Standard Class',SN-20710,'Steve Nguyen','Home Office','United States',Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,'Plantronics HL10 Handset Lifter',371.168,4,0.2,41.7564
42,CA-2017-120999,9/10/2017,9/15/2017,'Standard Class',LC-16930,'Linda Cazamias',Corporate,'United States',Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,'Panasonic Kx-TS550',147.168,4,0.2,16.5564
43,CA-2016-101343,7/17/2016,7/22/2016,'Standard Class',RA-19885,'Ruben Ausman',Corporate,'United States','Los Angeles',California,90049,West,OFF-ST-10003479,'Office Supplies',Storage,'Eldon Base for stackable storage shelf, platinum',77.88,2,0,3.894
